05/04/2022 12:06:52 distance: 25.999416945323556
05/04/2022 12:06:53 Pilot control
05/04/2022 12:06:53 Pilot control
05/04/2022 12:06:53 distance: 25.996373501608986
05/04/2022 12:06:54 Pilot control
05/04/2022 12:06:54 Pilot control
05/04/2022 12:06:54 distance: 25.977926472115215
05/04/2022 12:06:55 Pilot control
05/04/2022 12:06:55 Pilot control
05/04/2022 12:06:55 distance: 25.977926472115215
05/04/2022 12:06:56 Pilot control
05/04/2022 12:06:56 Pilot control
05/04/2022 12:06:56 distance: 25.97493299007148
05/04/2022 12:06:57 Pilot control
05/04/2022 12:06:57 Pilot control
05/04/2022 12:06:57 distance: 25.95041877123712
05/04/2022 12:06:58 Pilot control
05/04/2022 12:06:58 Pilot control
05/04/2022 12:06:58 distance: 25.935264795331804
05/04/2022 12:06:59 Pilot control
05/04/2022 12:06:59 Pilot control
05/04/2022 12:06:59 distance: 25.90477478068619
05/04/2022 12:07:00 Pilot control
05/04/2022 12:07:00 Pilot control
05/04/2022 12:07:00 distance: 25.899100707828232
05/04/2022 12:07:01 Pilot control
05/04/2022 12:07:01 Pilot control
05/04/2022 12:07:01 distance: 25.85063384874987
05/04/2022 12:07:02 Pilot control
05/04/2022 12:07:02 Pilot control
05/04/2022 12:07:02 distance: 25.820451841023655
05/04/2022 12:07:03 Pilot control
05/04/2022 12:07:03 Pilot control
05/04/2022 12:07:03 distance: 25.796367277451402
05/04/2022 12:07:04 Pilot control
05/04/2022 12:07:04 Pilot control
05/04/2022 12:07:04 distance: 25.732207343306104
05/04/2022 12:07:05 Pilot control
05/04/2022 12:07:05 Pilot control
05/04/2022 12:07:05 distance: 25.68008407418269
05/04/2022 12:07:06 Pilot control
05/04/2022 12:07:06 Pilot control
05/04/2022 12:07:06 distance: 25.621991228817024
05/04/2022 12:07:07 Pilot control
05/04/2022 12:07:07 Pilot control
05/04/2022 12:07:07 distance: 25.616010220227988
05/04/2022 12:07:08 Pilot control
05/04/2022 12:07:08 Pilot control
05/04/2022 12:07:08 distance: 25.600641355512373
05/04/2022 12:07:09 Pilot control
05/04/2022 12:07:09 Pilot control
05/04/2022 12:07:09 distance: 25.588692173754566
05/04/2022 12:07:10 Pilot control
05/04/2022 12:07:10 Pilot control
05/04/2022 12:07:10 distance: 25.582722755669916
05/04/2022 12:07:11 Pilot control
05/04/2022 12:07:11 Pilot control
05/04/2022 12:07:11 distance: 25.588692173754566
05/04/2022 12:07:12 Pilot control
05/04/2022 12:07:12 Pilot control
05/04/2022 12:07:12 distance: 25.588692173754566
05/04/2022 12:07:13 Pilot control
05/04/2022 12:07:13 Pilot control
05/04/2022 12:07:13 distance: 25.588692173754566
05/04/2022 12:07:14 Pilot control
05/04/2022 12:07:14 Pilot control
05/04/2022 12:07:14 distance: 25.588692173754566
05/04/2022 12:07:15 Pilot control
05/04/2022 12:07:15 Pilot control
05/04/2022 12:07:15 distance: 25.594665041138164
05/04/2022 12:07:16 Pilot control
05/04/2022 12:07:16 Pilot control
05/04/2022 12:07:16 distance: 25.588692173754566
05/04/2022 12:07:17 Pilot control
05/04/2022 12:07:17 Pilot control
05/04/2022 12:07:17 distance: 25.56139341001202
05/04/2022 12:07:18 Pilot control
05/04/2022 12:07:18 Pilot control
05/04/2022 12:07:18 distance: 25.528160938622403
05/04/2022 12:07:20 Pilot control
05/04/2022 12:07:20 Pilot control
05/04/2022 12:07:20 distance: 25.46425958776681
05/04/2022 12:07:21 Pilot control
05/04/2022 12:07:21 Pilot control
05/04/2022 12:07:21 distance: 25.431114586752155
05/04/2022 12:07:22 Pilot control
05/04/2022 12:07:22 Pilot control
05/04/2022 12:07:22 distance: 25.42519102879637
05/04/2022 12:07:23 Pilot control
05/04/2022 12:07:23 Pilot control
05/04/2022 12:07:23 distance: 25.42169131492013
05/04/2022 12:07:24 Pilot control
05/04/2022 12:07:24 Pilot control
05/04/2022 12:07:24 distance: 25.427620561614383
05/04/2022 12:07:25 Pilot control
05/04/2022 12:07:25 Pilot control
05/04/2022 12:07:25 distance: 25.427620561614383
05/04/2022 12:07:26 Pilot control
05/04/2022 12:07:26 Pilot control
05/04/2022 12:07:26 distance: 25.424135803304672
05/04/2022 12:07:27 Pilot control
05/04/2022 12:07:27 Pilot control
05/04/2022 12:07:27 distance: 25.432552017575212
05/04/2022 12:07:28 Pilot control
05/04/2022 12:07:28 Pilot control
05/04/2022 12:07:28 distance: 25.435053927809324
05/04/2022 12:07:29 Pilot control
05/04/2022 12:07:29 Pilot control
05/04/2022 12:07:29 distance: 25.431614042283606
05/04/2022 12:07:30 Pilot control
05/04/2022 12:07:30 Pilot control
05/04/2022 12:07:30 distance: 25.418788330424164
05/04/2022 12:07:31 Pilot control
05/04/2022 12:07:31 Pilot control
05/04/2022 12:07:31 distance: 25.40000232616399
05/04/2022 12:07:32 Pilot control
05/04/2022 12:07:32 Pilot control
05/04/2022 12:07:32 distance: 25.39061143126283
05/04/2022 12:07:33 Pilot control
05/04/2022 12:07:33 Pilot control
05/04/2022 12:07:33 distance: 25.423935964715955
05/04/2022 12:07:34 Pilot control
05/04/2022 12:07:34 Pilot control
05/04/2022 12:07:34 distance: 25.441922560853826
05/04/2022 12:07:35 Pilot control
05/04/2022 12:07:35 Pilot control
05/04/2022 12:07:35 distance: 25.490702262759964
05/04/2022 12:07:36 Pilot control
05/04/2022 12:07:36 Pilot control
05/04/2022 12:07:36 distance: 25.518120356244523
05/04/2022 12:07:37 Pilot control
05/04/2022 12:07:37 Pilot control
05/04/2022 12:07:37 distance: 25.59444474499147
05/04/2022 12:07:38 Pilot control
05/04/2022 12:07:38 Pilot control
05/04/2022 12:07:38 distance: 25.72316174354498
05/04/2022 12:07:39 Pilot control
05/04/2022 12:07:39 Pilot control
05/04/2022 12:07:39 distance: 25.772197698341586
05/04/2022 12:07:40 Pilot control
05/04/2022 12:07:40 Pilot control
05/04/2022 12:07:40 distance: 25.784369425147712
05/04/2022 12:07:41 Pilot control
05/04/2022 12:07:41 Pilot control
05/04/2022 12:07:41 distance: 25.839912901294777
05/04/2022 12:07:42 Pilot control
05/04/2022 12:07:42 Pilot control
