29/03/2022 14:04:36 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:04:36 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:04:36 ChibiOS: 45395b6a
29/03/2022 14:04:36 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:05:18 Pilot control + Computer
29/03/2022 14:05:18 Pilot control + Computer
29/03/2022 14:05:18 Pilot control + Computer
29/03/2022 14:05:19 Pilot control + Computer
29/03/2022 14:05:19 Pilot control + Computer
29/03/2022 14:05:19 Pilot control + Computer
29/03/2022 14:05:19 Pilot control + Computer
29/03/2022 14:05:19 Pilot control + Computer
29/03/2022 14:05:19 Pilot control + Computer
29/03/2022 14:05:19 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:20 Pilot control + Computer
29/03/2022 14:05:21 Pilot control + Computer
29/03/2022 14:05:21 Pilot control + Computer
29/03/2022 14:05:21 Pilot control + Computer
29/03/2022 14:05:21 Pilot control + Computer
29/03/2022 14:05:21 Pilot control + Computer
29/03/2022 14:05:21 Pilot control + Computer
29/03/2022 14:05:22 Pilot control + Computer
29/03/2022 14:05:22 Pilot control + Computer
29/03/2022 14:05:22 Pilot control + Computer
29/03/2022 14:05:23 Pilot control + Computer
29/03/2022 14:05:23 Pilot control + Computer
29/03/2022 14:05:23 Pilot control + Computer
29/03/2022 14:05:23 Pilot control + Computer
29/03/2022 14:05:23 Pilot control + Computer
29/03/2022 14:05:24 Pilot control + Computer
29/03/2022 14:05:24 Pilot control + Computer
29/03/2022 14:05:24 Pilot control + Computer
29/03/2022 14:05:24 Pilot control + Computer
29/03/2022 14:05:24 Pilot control + Computer
29/03/2022 14:05:25 Pilot control + Computer
29/03/2022 14:05:25 Pilot control + Computer
29/03/2022 14:05:25 Pilot control + Computer
29/03/2022 14:05:25 Pilot control + Computer
29/03/2022 14:05:25 Pilot control + Computer
29/03/2022 14:05:25 Pilot control + Computer
29/03/2022 14:05:25 Pilot control + Computer
29/03/2022 14:05:26 Pilot control + Computer
29/03/2022 14:05:26 Pilot control + Computer
29/03/2022 14:05:26 Pilot control + Computer
29/03/2022 14:05:26 Pilot control + Computer
29/03/2022 14:05:26 Pilot control + Computer
29/03/2022 14:05:26 Pilot control + Computer
29/03/2022 14:05:27 Pilot control + Computer
29/03/2022 14:05:27 Pilot control + Computer
29/03/2022 14:05:27 Pilot control + Computer
29/03/2022 14:05:27 Pilot control + Computer
29/03/2022 14:05:27 Pilot control + Computer
29/03/2022 14:05:27 Pilot control + Computer
29/03/2022 14:05:28 Pilot control + Computer
29/03/2022 14:05:28 Pilot control + Computer
29/03/2022 14:05:28 Pilot control + Computer
29/03/2022 14:05:28 Pilot control + Computer
29/03/2022 14:05:28 Pilot control + Computer
29/03/2022 14:05:28 Pilot control + Computer
29/03/2022 14:05:29 Pilot control + Computer
29/03/2022 14:05:29 Pilot control + Computer
29/03/2022 14:05:29 Pilot control + Computer
29/03/2022 14:05:29 Pilot control + Computer
29/03/2022 14:05:29 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:30 Pilot control + Computer
29/03/2022 14:05:31 Pilot control + Computer
29/03/2022 14:05:31 Pilot control + Computer
29/03/2022 14:05:31 Pilot control + Computer
29/03/2022 14:05:31 Pilot control + Computer
29/03/2022 14:05:31 Pilot control + Computer
29/03/2022 14:05:31 Pilot control + Computer
29/03/2022 14:05:32 Pilot control + Computer
29/03/2022 14:05:32 Pilot control + Computer
29/03/2022 14:05:32 Pilot control + Computer
29/03/2022 14:05:32 Pilot control + Computer
29/03/2022 14:05:32 Pilot control + Computer
29/03/2022 14:05:32 Pilot control + Computer
29/03/2022 14:05:32 Pilot control + Computer
29/03/2022 14:05:33 Pilot control + Computer
29/03/2022 14:05:33 Pilot control + Computer
29/03/2022 14:05:33 Pilot control + Computer
29/03/2022 14:05:33 Pilot control + Computer
29/03/2022 14:05:33 Pilot control + Computer
29/03/2022 14:05:33 Pilot control + Computer
29/03/2022 14:05:33 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:34 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
29/03/2022 14:05:35 Pilot control + Computer
